,FIPS,air_particulate,Year
1097,21169,10.5,2019
1098,21171,10.2,2019
1099,21173,10.1,2019
1100,21175,9.6,2019
1101,21177,11.4,2019
1102,21179,11.5,2019
1103,21181,10.1,2019
1104,21183,11.7,2019
1105,21185,11.9,2019
1106,21187,10.9,2019
1107,21189,9.5,2019
1108,21191,10.7,2019
1109,21193,9.6,2019
1110,21195,9.6,2019
1111,21197,9.7,2019
1112,21199,10,2019
1113,21201,10.1,2019
1114,21203,10,2019
1115,21205,9.7,2019
1116,21207,10.1,2019
1117,21209,10.9,2019
1118,21211,11.5,2019
1119,21213,10.8,2019
1120,21215,11.4,2019
1121,21217,10.7,2019
1122,21219,10.8,2019
1123,21221,10.6,2019
1124,21223,11.2,2019
1125,21225,11.6,2019
1126,21227,10.8,2019
1127,21229,10.8,2019
1128,21231,9.7,2019
1129,21233,11.6,2019
1130,21235,9.9,2019
1131,21237,9.5,2019
1132,21239,11,2019
1133,22000,9.4,2019
1134,22001,9.4,2019
1135,22003,9.2,2019
1136,22005,10,2019
1137,22007,9.3,2019
1138,22009,9.2,2019
1139,22011,9.4,2019
1140,22013,9.7,2019
1141,22015,10.3,2019
1142,22017,10.3,2019
1143,22019,9.5,2019
1144,22021,9.2,2019
1145,22023,9.1,2019
1146,22025,9,2019
1147,22027,9.6,2019
1148,22029,9,2019
1149,22031,9.9,2019
1150,22033,9,2019
1151,22035,9.6,2019
1152,22037,9.3,2019
1153,22039,9.3,2019
1154,22041,9.3,2019
1155,22043,9.5,2019
1156,22045,9.4,2019
1157,22047,9.5,2019
1158,22049,9.5,2019
1159,22051,8,2019
1160,22053,9,2019
1161,22055,9.4,2019
1162,22057,9.3,2019
1163,22059,9.1,2019
1164,22061,9.6,2019
1165,22063,9.7,2019
1166,22065,9.6,2019
1167,22067,9.8,2019
1168,22069,9.6,2019
1169,22071,9,2019
1170,22073,9.5,2019
